
**********************
* BINARY SEARCH TREE *
**********************

INSERTION:
N         Probe count       Compare count    Elapsed time(ms)
 10000         154,974             218,761                 581
 20000         324,101             460,619                 916
 30000         489,331             694,923               1,653
 40000         733,224           1,024,718               7,465
 50000         913,549           1,288,498               2,880
 60000       1,117,101           1,569,507               9,530
 70000       1,314,037           1,866,241               3,171
 80000       1,492,125           2,110,031               2,811
 90000       1,857,533           2,668,764               5,232
100000       1,992,010           2,831,448               5,152

SEARCH:
N        Probe count       Compare count    Elapsed time(ms)
 10000        154,974             299,949                 107
 20000        324,101             628,203                 380
 30000        489,331             948,663                 840
 40000        733,224           1,426,449               1,683
 50000        913,549           1,777,099               1,340
 60000      1,117,101           2,174,203               2,582
 70000      1,314,037           2,558,075                 807
 80000      1,492,125           2,904,251               3,063
 90000      1,857,533           3,625,067               4,191
100000      1,992,010           3,884,021               7,957


************
* AVL TREE *
************

INSERTION:
N          Probe count       Compare count    Elapsed time(ms)
 10000       1,252,211             293,389               4,609
 20000       2,708,208             637,899               7,201
 30000       4,244,877           1,000,742              12,383
 40000       5,849,160           1,380,073              25,199
 50000       7,458,443           1,774,819              35,273
 60000       9,120,117           2,162,829              47,399
 70000      10,786,745           2,564,735              59,137
 80000      12,477,476           2,968,331              59,811
 90000      14,178,393           3,389,327              62,217
100000      15,896,904           3,793,166              71,352

SEARCH:
N         Probe_count       Compare_count        Elapsed_time
 10000        117,082             224,165                  37
 20000        254,624             489,249                  33
 30000        399,624             769,249                 206
 40000        552,857           1,065,715                 586
 50000        706,042           1,362,085               2,035
 60000        894,258           1,750,478               1,127
 70000      1,021,777           1,973,555               1,696
 80000      1,182,778           2,285,557               1,707
 90000      1,346,309           2,602,619               1,022
100000      1,508,245           2,916,491                 731
